RA,DEC,F336W-F475W_RAW,F475W-F814W_RAW,F475W_RAW,F336W-F475W,F475W-F814W,F475W,A(F475W),Z
10.833643831,41.2628284976,-0.073,0.979,18.442,-0.959162509303,-0.233015959117,-7.94491212305,1.98691155847,nan
10.8146784245,41.2580747986,-1.42,-0.0019989,20.308,-1.82897338596,-0.56135701548,-5.00897995036,0.916980514939,nan
10.8396899929,41.2667272319,-0.387999,2.67,23.171,-2.6261431129,-1.32042561953,-6.24726175546,5.01826128244,nan
10.8519422832,41.2672365841,-0.635,1.098,23.122,-1.86396732929,-0.582874712555,-4.03353187466,2.75553161526,nan
10.8307125227,41.2518118462,-1.42,0.0380001,20.61,-1.88258621348,-0.594684968716,-4.82718803805,1.03718864841,nan
10.8274915969,41.2481807588,-1.487,-0.0830002,20.607,-1.84296028993,-0.569852368549,-4.59111798584,0.798118336792,nan
10.8214304728,41.2478509296,-0.454,1.441,22.794,-2.00277417114,-0.677277943176,-5.07858614147,3.47258676708,nan
10.8097580407,41.2614088336,-0.708,0.0790005,21.32,-0.931414519428,-0.226566220154,-3.58092931038,0.500929005207,nan
10.8600022746,41.2582531871,-1.559,-0.0209999,20.938,-2.08518627689,-0.740671701263,-4.64179009895,1.17978982429,nan
10.8349054969,41.2642312257,-1.257,0.283998,21.078,-1.91486237584,-0.61576847896,-4.79702870196,1.47502781695,nan
10.863509052,41.2605871557,-0.132,1.431,22.55,-1.45626503337,-0.380214793405,-4.81920494206,2.96920417912,nan
10.8295959588,41.2553965896,-0.983,0.23,21.16,-1.418874587,-0.366152070036,-4.21729787762,0.977297725036,nan
10.8658192808,41.2504401197,-0.0240002,0.371,21.399,-0.365593710977,-0.0962016412707,-3.76690463738,0.765904805226,nan
10.8535598099,41.2515035901,-0.0819988,1.696,23.605,-1.66785471891,-0.472996583736,-4.35073116144,3.55573070368,nan
10.8337627398,41.2604372246,-0.636002,0.478001,21.856,-1.20154094294,-0.295494890918,-3.81202456168,1.26802546195,nan
10.8409507872,41.2634913504,-0.124001,1.502,23.341,-1.51828930093,-0.404987956223,-4.18520835999,3.12620796326,nan
10.8081245625,41.2681609111,-0.455,0.309,22.468,-0.829828559652,-0.203657984577,-2.77242253856,0.84042295055,nan
10.8569766363,41.252475851,-0.539999,1.831,23.813,-2.62240949789,-1.31531659446,-5.25608209016,4.6690818155,nan
10.8107854244,41.2666109311,-0.709,0.0200005,22.615,-0.880854919809,-0.215048251815,-2.17032598229,0.385325753407,nan
10.8080743591,41.2673823796,-1.35,0.701,22.777,-2.62381321775,-1.31723542808,-4.47908216531,2.85608259256,nan
10.8105905045,41.2665018234,-0.256001,0.207001,22.66,-0.502766532467,-0.130504353537,-2.29328717875,0.553287026162,nan
10.8355703871,41.2518165917,-0.389999,0.742001,22.618,-1.13503741682,-0.276997618761,-3.45248881964,1.67048885016,nan
10.8430752242,41.2599892161,-0.809999,1.621,23.639,-2.62571441711,-1.31983813322,-4.83210981702,4.07110975598,nan
10.8104970535,41.266305318,-0.779999,0.271,22.723,-1.19224475521,-0.292834273851,-2.60131875888,0.924318331637,nan
10.8311203382,41.2538010894,-1.118,0.0640011,22.207,-1.4375959122,-0.373114360178,-2.90958196193,0.716582694347,nan
10.8285076931,41.2442491635,-1.397,-0.0839996,22.28,-1.6893213725,-0.483809644264,-2.77542556003,0.65542624668,nan
10.8105567463,41.2647791044,-0.816999,0.272999,22.848,-1.24115851675,-0.307129081688,-2.50302975758,0.951029330332,nan
10.8389367048,41.2682658245,-0.916,0.259001,22.221,-1.357052057,-0.344231354942,-3.16790446491,0.988905136295,nan
10.8174125894,41.2468069297,-0.803999,0.275999,22.321,-1.22734504153,-0.303016889481,-3.02820734416,0.949206489664,nan
10.8343552986,41.2588550229,-0.437,0.452999,22.448,-0.934359890856,-0.227246099988,-3.0671561359,1.11515609013,nan
10.8119449781,41.2549202904,-0.724998,0.264999,22.956,-1.11794031204,-0.272432272078,-2.32503613664,0.881035511027,nan
10.8342276563,41.2609694825,-0.594,0.812,22.951,-1.46941137598,-0.385311436374,-3.41180587004,1.96280608366,nan
10.8112485705,41.2636281725,-0.513,0.395,23.087,-0.974878682875,-0.23671635547,-2.34860143998,1.03560133317,nan
10.8176191978,41.2485657482,-0.855,0.127001,22.462,-1.15418516442,-0.282199257495,-2.60881988749,0.670819780674,nan
10.8308605712,41.251069974,-0.337002,0.450001,22.849,-0.812050007177,-0.199728847039,-2.61612957737,1.06513050816,nan
10.8077076667,41.2669372197,-0.331001,0.440001,23.238,-0.796182954948,-0.196234489839,-2.20500736615,1.0430082359,nan
10.8123388404,41.2597407263,-0.477999,0.254999,23.199,-0.810168663432,-0.199313972072,-1.9457762227,0.744775627604,0.0206824066374
10.8573771637,41.2657261663,-1.215,0.0640011,22.672,-1.57603511199,-0.42979112567,-2.53749453965,0.809495424663,nan
10.8228116491,41.2511052838,-1.181,-0.0459995,22.639,-1.41368837803,-0.364250781511,-2.28272342912,0.521723368087,nan
10.8470901733,41.2737246641,-0.259001,0.683001,22.958,-0.922534245988,-0.224522788231,-2.92974301822,1.48774320132,nan
10.8648288561,41.2582935118,-0.174,0.361,22.848,-0.53970007238,-0.139172975874,-2.37195622546,0.819955798212,nan
10.8357699847,41.2633753071,-0.319,0.320002,22.759,-0.677395435845,-0.170180162266,-2.44457588482,0.803576663015,nan
10.8425441721,41.2520729938,-0.323,0.401999,22.873,-0.753560636244,-0.186884924122,-2.49238350383,0.965382695114,nan
10.8103901178,41.2662553991,-0.801001,0.232,23.358,-1.18276807755,-0.290147999499,-1.89798110074,0.855980902379,0.0109896063784
10.8145138367,41.2536551535,-0.146999,0.309999,23.382,-0.461874164629,-0.120658900322,-1.72399735226,0.705997321746,0.0261683348762
10.8478602059,41.2700956213,-0.576,0.615999,23.122,-1.253715539,-0.310920842048,-2.79754134768,1.51954108828,nan
10.8283124232,41.2594093027,-0.415001,0.453001,22.975,-0.907927934971,-0.221181672416,-2.53021715092,1.10521753239,nan
10.8096465874,41.2667351668,-0.224001,0.981001,23.766,-1.14594043334,-0.279947746725,-2.70112818182,2.0671289295,nan
10.809044517,41.2667924447,-0.379999,0.320999,23.535,-0.750913518106,-0.186305244575,-1.69664669371,0.831646541119,0.0220034183068
10.8604660323,41.2704780469,-0.542999,0.737999,23.4,-1.32685274158,-0.334087627601,-2.75751938147,1.75751900001,nan
10.8629994863,41.2599104212,-0.58,0.312,23.075,-0.982517521476,-0.238528278346,-2.22750506166,0.902505824596,nan
10.8099608598,41.2658740476,-0.946999,0.0389996,23.543,-1.18892865394,-0.291891328666,-1.3994448081,0.542444075674,0.0108043087011
10.8706675809,41.2568524028,-0.313,0.125999,22.973,-0.500074055595,-0.129864543608,-1.84644959822,0.41944917097,0.0258579426109
10.8295663877,41.2553649104,-0.378,1.119,23.893,-1.48129255518,-0.389987739479,-2.98074989305,2.4737495421,nan
10.8535431508,41.2596443865,-0.549,0.389999,23.473,-1.01409591674,-0.246118636181,-1.96981686303,1.04281643579,0.0162580475914
10.8324119081,41.2649081467,-0.966999,0.201,23.039,-1.36853229496,-0.348182021829,-2.26129918915,0.900298746642,nan
10.8078679463,41.2654031864,-0.124001,0.910999,23.875,-0.960709674237,-0.233378653029,-2.40102942807,1.87602942807,nan
10.8314169443,41.241007524,-0.484001,0.281,23.451,-0.840008487681,-0.205915714887,-1.74722249493,0.79822270855,0.0205445725649
10.8593089839,41.264743242,-0.875999,0.689999,23.439,-1.76294213646,-0.523084418866,-2.94966155443,1.98866073045,nan
10.8306942609,41.2616197629,-0.288,0.462,23.244,-0.764122140178,-0.189198403568,-2.2235387102,1.0675381914,nan
10.8064844233,41.267495735,-0.126999,0.720999,23.824,-0.797909374423,-0.196614214805,-2.08028416697,1.50428357187,0.0215172621387
10.825787634,41.2510218093,-0.291,0.392,23.159,-0.706754504625,-0.176632143413,-2.17318377012,0.932184166847,0.0234132702663
10.8105709815,41.2665701118,-0.823,0.299999,23.709,-1.27430075007,-0.31725073035,-1.70288555869,1.01188519248,0.00840576738193
10.8645272379,41.2648941944,-1.47,0.361,23.232,-2.62349375816,-1.31679852719,-3.75430578685,2.5863061378,nan
10.8078067204,41.2643043225,-0.634001,0.445,23.791,-1.16860096032,-0.286179926469,-1.80765475066,1.19865511687,0.0114711476468
10.8416762715,41.263206228,-0.209999,0.470999,23.307,-0.679064201814,-0.1705476969,-2.14471630319,1.05171550973,0.0233313308892
10.8266398916,41.2567957829,-0.162001,0.761002,23.53,-0.874609870253,-0.21364330236,-2.46777782036,1.59777850701,nan
10.8097293478,41.2653669494,-0.784,-0.108,23.757,-0.858622649418,-0.210061627063,-0.810314498432,0.167314467914,0.0198178105345
10.8319425831,41.2592185115,-0.625,0.526999,23.314,-1.23311396215,-0.304726854344,-2.44948504404,1.36348422007,nan
10.8759850377,41.2637993538,-0.119999,0.0379982,23.196,-0.178193955094,-0.0415958905768,-1.33448296931,0.130482114819,0.0288223878731
10.8516359418,41.2340245236,-0.0420017,0.641001,23.554,-0.626915759898,-0.158993785389,-2.15746559316,1.31146644766,0.0241383618194
10.8106709979,41.2665741718,-0.802999,0.0119991,23.772,-0.986942432556,-0.239582015533,-1.04042874871,0.412428107839,0.0168610826416
10.8273162744,41.2431362386,-0.18,0.662001,23.562,-0.809667610947,-0.199203506474,-2.24980982797,1.41181010263,nan
10.8105583224,41.2665020934,-1.379,0.232,23.84,-2.0973937661,-0.750556541801,-2.17074885192,1.61074900451,nan
10.8693226002,41.2656045631,-0.526001,0.312,23.485,-0.917421379644,-0.223350500857,-1.7926236118,0.877624222156,0.0183537211563
10.8420016444,41.2603930753,-0.519999,0.207998,23.307,-0.819272937061,-0.201323194767,-1.7640195976,0.671018804138,0.0209187717662
10.8388008676,41.2682054157,-0.108,0.804998,23.352,-0.848509316938,-0.207806096197,-2.70833595327,1.6603352361,nan
10.8295294646,41.2553916197,-0.605,0.456999,23.48,-1.1432897484,-0.27922769009,-2.12692917115,1.20692871338,nan
10.8480756021,41.2700053637,-1.117,-0.00300026,23.353,-1.36966699171,-0.348575396714,-1.61351597768,0.566516618549,0.00552405513605
10.8106782153,41.266692519,-0.646999,0.171999,23.983,-0.939832076329,-0.228512137789,-1.07357579746,0.656575599099,0.0178541982981
10.8407188944,41.261056208,-0.188,0.586,23.545,-0.753003802698,-0.186762981681,-2.12182520926,1.26682528555,0.0224062746751
10.8574152934,41.2493919748,-0.508999,0.272999,23.526,-0.862883844264,-0.211014270416,-1.66746499674,0.793464065951,0.0196939236094
10.8106419646,41.2642817063,-0.833,0.0709991,23.994,-1.07615634126,-0.261568694125,-0.951193698525,0.545193179726,0.014204270041
10.8385150595,41.2627088561,-0.188002,0.960001,23.964,-1.08229873644,-0.26314078685,-2.44114975493,2.00515045684,nan
10.8268541089,41.2488327126,-0.498999,0.605999,23.692,-1.14695910404,-0.280224957443,-2.16082671271,1.45282614814,nan
10.8393940761,41.2658531424,-0.596001,0.601999,23.792,-1.26629586056,-0.314772164238,-2.1109041947,1.5029040116,nan
10.8556693042,41.2508081991,-0.561001,0.242001,23.471,-0.898005614603,-0.218925254882,-1.6846154511,0.755616122485,0.0188182111741
10.8385531132,41.2661836035,-0.517,0.809999,23.841,-1.36220492747,-0.345998033509,-2.45407826468,1.89507786795,nan
10.8308819718,41.250315812,-0.927,0.482,23.607,-1.6023505445,-0.441685308736,-2.30723843542,1.51423878637,nan
10.846596896,41.2520116799,-0.108002,0.536001,23.922,-0.614039624775,-0.156113432744,-1.61261327595,1.13461416096,0.0241342329805
10.8383233164,41.2670408529,-0.176001,0.411001,23.593,-0.586027577594,-0.149798030712,-1.7263425981,0.919343010092,0.024684910215
10.8560616279,41.2555724163,-1.094,0.0979996,23.534,-1.43877927586,-0.373559714341,-1.6390476149,0.773048011631,0.00347833229229
10.8629246828,41.2453727868,-0.323999,0.275999,23.594,-0.644983485321,-0.1630150318,-1.52569538489,0.719695247564,0.0239960393478
10.8322888155,41.2600020033,-0.515999,0.566999,23.657,-1.1326075466,-0.276344310822,-2.12553114354,1.38253073155,nan
10.8338860966,41.2471752202,-0.323,0.273001,23.639,-0.641173072483,-0.162168794357,-1.47439270287,0.713392641837,0.0240465414272
10.8468821965,41.2730715094,-0.471001,0.441999,23.924,-0.965650171712,-0.234539118832,-1.58507981076,1.10907959714,0.0172131278463
10.8346186203,41.2621975338,-0.187,0.553001,23.62,-0.723087489259,-0.180212051139,-1.98198843117,1.20198927041,0.0222944417098
10.8179720024,41.2484973602,-0.435999,0.874001,23.806,-1.31690190506,-0.330821923651,-2.56911905228,1.97511880814,nan
10.8585599674,41.2482235539,-0.448999,0.539,23.851,-1.02497824032,-0.24877418601,-1.84043253425,1.2914323664,0.015732453633
10.8374101278,41.2697612271,-0.587,0.560999,23.633,-1.21636429556,-0.299790961056,-2.17813152685,1.41113094702,nan
10.8382180366,41.2550237985,-0.933001,-0.0900002,23.52,-1.05442278888,-0.256070907798,-1.15224668193,0.272247139689,0.0151080622854
10.8274622282,41.25275286,-0.871,0.9,23.958,-2.05062180246,-0.713384064547,-3.08689110063,2.64489128373,nan
10.867580663,41.2477731751,-0.209,-0.550001,23.571,0.324995251069,0.18035060394,0.368297093621,-1.19729794811,nan
10.8301720537,41.2629257313,-0.202999,0.525,23.751,-0.717759395731,-0.179044711631,-1.80317158237,1.15417103305,0.0223080908248
10.8177811398,41.2485086597,-0.188999,0.826,23.848,-0.964152406204,-0.234186939761,-2.2900121541,1.73801172686,nan
10.829773904,41.2521214377,-0.132999,0.41,23.722,-0.533465731888,-0.137723134988,-1.57590640645,0.897906528524,0.0255021148801
10.8350477646,41.2560689,-1.55,-0.197001,23.608,-1.80672460941,-0.548127133889,-1.36761762517,0.575617426802,nan
10.8493767047,41.2708530251,-0.337,0.219,23.649,-0.610718241891,-0.155368282416,-1.36471810279,0.613718270635,0.0244066126406
10.875762334,41.2645564555,-0.0790005,0.144001,23.642,-0.225550978994,-0.0564380257516,-1.08658838005,0.328588578413,0.0284228384341
10.8170080635,41.247576061,-0.752001,0.0600014,23.606,-0.967707438196,-0.235023389002,-1.27764625103,0.4836471513,0.017308160524
10.8765759628,41.265880515,-1.142,-0.175999,23.679,-1.23695654113,-0.305871712597,-0.933905743627,0.212906598119,0.00957530069059
10.8469376257,41.2434936229,-0.254,0.238998,23.807,-0.528610550542,-0.136590404582,-1.20872016668,0.615719373226,0.0255840016449
10.8747700182,41.2646182229,-0.104,0.26,23.843,-0.364158141196,-0.0958213188367,-1.14031360067,0.583314012653,0.0268929047625
10.869979377,41.2681775427,-0.242001,0.247,23.864,-0.521191405914,-0.134853182962,-1.16198807885,0.625988399283,0.0256876644488
10.8215763401,41.2498922812,-0.144001,0.658001,23.974,-0.763296453041,-0.189017489014,-1.81455388079,1.38855481157,0.0214793476631
10.8410477402,41.2667520829,-0.210999,0.549,23.904,-0.748176866893,-0.185706003667,-1.70043639277,1.20443572138,0.0220139031955
10.8278056696,41.2598304821,-0.539999,0.146999,23.807,-0.7899522198,-0.194864898916,-1.15343400337,0.560433209912,0.0217817256515
10.8288316982,41.2624848302,-0.756001,0.225,23.753,-1.12011972526,-0.273010192384,-1.46341051741,0.81641077681,0.0132487071028
10.8329695161,41.268751176,-0.066,0.456999,23.879,-0.494030670794,-0.128424310559,-1.48071034833,0.959710058414,0.0259517843993
10.8305058235,41.2618253778,-0.415001,0.428001,23.936,-0.886015949167,-0.216211983007,-1.5200866954,1.05608751937,0.0191705108725
10.8416881742,41.2462980001,-0.171,0.300999,23.9,-0.483046048605,-0.12579139789,-1.19965625956,0.699655878089,0.0260406157721
10.8388187795,41.2681768065,-0.318001,0.568001,23.641,-0.892437218021,-0.217663374668,-2.04697329843,1.28797404611,0.0191207483221
10.8697995195,41.2550974435,-0.368999,0.118,23.9,-0.56054966884,-0.143985652128,-0.929485107118,0.429484725648,0.0251285478273
10.8412050061,41.2395174308,-0.385,0.347,23.995,-0.779506698622,-0.192571506947,-1.28954281489,0.884543654127,0.0218368965156
10.8605195107,41.2503227263,-0.231001,0.228001,23.951,-0.491085382123,-0.127720287228,-1.03214884883,0.583149062454,0.0259943730511
10.8417494823,41.2414381757,-0.58,0.154999,23.893,-0.844633154625,-0.206943532049,-1.10034840234,0.593348051387,0.0199606971433
10.8420267852,41.2604237846,-0.539,-0.00500107,23.845,-0.656377320244,-0.165540160664,-0.818179526889,0.263178840243,0.0239036026698
10.8400791138,41.2653305856,-1.197,0.582001,23.899,-2.32305986162,-0.958125295444,-3.02579659915,2.52479676699,nan
10.8388394422,41.2681237177,-0.194,0.414999,23.792,-0.611082702617,-0.155450094222,-1.54316264606,0.935162462952,0.0243674008591
10.8388290809,41.2681472072,-0.229,0.442999,23.848,-0.677310816421,-0.170161522343,-1.55718142471,1.00518099746,0.0235624144069
10.7737184719,41.2661917435,-0.0739994,0.952999,17.727,-0.93745621644,-0.227961994954,-8.60900253674,1.93600181958,nan
10.803124451,41.2737581135,-1.202,0.757,18.954,-2.62366455294,-1.31703209488,-8.63358896337,3.18758943639,nan
10.7740241449,41.2662336403,-0.0229988,0.795,18.484,-0.738488716919,-0.183584774231,-7.52023820756,1.60423745988,nan
10.8147229308,41.2591211592,-1.39,1.251,21.093,-2.62338914383,-1.31665548109,-6.07244319077,2.76544360276,nan
10.8041858528,41.2883989142,-0.549,0.400999,19.837,-1.0238839544,-0.248506183021,-5.62776281539,1.06476270858,nan
10.8089992381,41.2822017665,-0.764,2.124,22.361,-2.61796032772,-1.30925061487,-6.19586179715,4.15686185819,nan
10.8214750173,41.2524221002,-0.74,0.0499992,20.698,-0.944409069972,-0.229574019219,-4.16031685935,0.458316813573,nan
10.8117127033,41.2686708976,-1.295,0.0410004,20.934,-1.67250184132,-0.475313707028,-4.31241649825,0.846416513506,nan
10.8238424102,41.2704965467,-0.209,1.577,23.097,-1.73215337325,-0.50623751298,-4.71814279151,3.41514291359,nan
10.8040823713,41.2547626516,-0.716002,0.285,21.575,-1.12492356716,-0.274288167144,-3.74186483469,0.916865597632,nan
10.8206207342,41.2661171926,-0.530001,0.434,21.839,-1.03013493151,-0.250040095426,-3.68237652873,1.12137723063,nan
10.8137210523,41.2607152292,-1.225,0.140999,21.703,-1.67741561928,-0.477777972554,-3.71138910286,1.01438821785,nan
10.8166338568,41.27182838,-0.519001,0.197001,21.704,-0.808495725425,-0.198945187469,-3.34509082371,0.649091296737,nan
10.7832069639,41.2604003337,-0.656,0.865999,22.678,-1.61711177112,-0.448525658492,-3.87695932369,2.15495882015,nan
10.7978273574,41.2575547574,-0.0360012,1.413,23.089,-1.30915139316,-0.328303961586,-4.16559613153,2.85459683344,nan
10.818424473,41.2746819022,-0.129,0.601999,21.827,-0.696677161426,-0.174420549717,-3.84581973332,1.27281939763,nan
10.804957755,41.260998035,-0.768,0.122,22.049,-1.04219454382,-0.253020182746,-2.96578697321,0.614786759584,nan
10.8143207781,41.2762497893,-0.0680008,1.391,23.246,-1.33007363916,-0.335152695996,-3.98375945381,2.82975974373,nan
10.8249017,41.2788978016,-0.467999,0.136,21.866,-0.694633286377,-0.173971658686,-3.04215051304,0.508149734839,nan
10.8237447667,41.2770200943,-0.281,1.036,22.733,-1.26928912508,-0.315696402636,-3.88289478973,2.21589459136,nan
10.818632599,41.2842190808,-0.830999,0.187,21.965,-1.17911260011,-0.289118711189,-3.21552277503,0.780522927618,nan
10.7955617607,41.2729918488,-0.816,0.299,22.072,-1.26431095922,-0.314160963477,-3.3331810536,1.00518155714,nan
10.8144030116,41.2476940148,-0.139,0.195,21.939,-0.348594313242,-0.0916652565409,-2.9309433672,0.469942543221,nan
10.8138535379,41.2696440064,-0.237999,0.59,22.417,-0.816053228334,-0.200612184225,-3.27908598116,1.29608579805,nan
10.8055960837,41.2518685975,-0.191,0.353998,22.137,-0.553998168751,-0.14247915267,-3.07689814332,0.813897273565,nan
10.8277502485,41.2735743603,-0.903,0.116999,22.039,-1.20540835008,-0.29660932754,-3.03904634419,0.67804590168,nan
10.8025610758,41.2574663241,-0.768,0.830999,22.786,-1.75468801093,-0.518507129527,-3.82630644603,2.21230574412,nan
10.8008722084,41.2799300566,-0.997002,0.0150013,22.002,-1.23012036704,-0.30383820669,-2.92068690225,0.522687710963,nan
10.787331318,41.2725075371,-0.809999,-0.0580006,21.975,-0.933617565959,-0.227074647558,-2.70217024637,0.277170627841,nan
10.7986087324,41.279628184,-0.966,0.470999,22.352,-1.64965569662,-0.464046565432,-3.58086191301,1.53286119585,nan
10.8339376052,41.2797982755,-0.354,1.073,22.959,-1.40164806331,-0.359881800866,-3.78998684996,2.34898648375,nan
10.7917822351,41.2705282944,-0.818001,0.448,22.256,-1.41121632953,-0.363348648929,-3.4740791585,1.3300796773,nan
10.7965280977,41.255403937,-1.459,-0.0879993,22.125,-1.78709402973,-0.536738315892,-3.01063765905,0.73563765905,nan
10.7857029192,41.2612756234,-0.990999,0.0149994,22.094,-1.22246427736,-0.301578376918,-2.82498008252,0.518979945191,nan
10.8122302221,41.2669880395,-0.201,0.979,23.074,-1.11551213123,-0.271789750916,-3.37647574668,2.05047515159,nan
10.8299356187,41.2697400809,-0.678999,0.289999,22.185,-1.08368623154,-0.263497053441,-3.12237112688,0.907370592819,nan
